NODE_TYPE,NODE_ID,DATA,EDGE_TYPE,EDGE_FROM,EDGE_TO,EXTRA
,,RWX,HOLD,PD_100001,VMR_100002_119,
,,RWX,HOLD,PD_100001,VMR_100002_120,
,,RWX,HOLD,PD_100001,VMR_100002_121,
,,RWX,HOLD,PD_100001,VMR_100002_122,
,,RWX,HOLD,PD_100001,VMR_100002_123,
,,RWX,HOLD,PD_100001,VMR_100002_124,
,,RWX,HOLD,PD_100001,VMR_100002_125,
,,RWX,HOLD,PD_100001,VMR_100002_126,
,,RWX,HOLD,PD_100001,VMR_100002_127,
,,RWX,HOLD,PD_100001,VMR_100002_128,
,,RWX,HOLD,PD_100001,VMR_100002_129,
,,RWX,HOLD,PD_100001,VMR_100002_130,
,,RWX,HOLD,PD_100001,VMR_100002_131,
,,RWX,HOLD,PD_100001,VMR_100002_132,
,,RWX,HOLD,PD_100001,VMR_100002_133,
,,RWX,HOLD,PD_100001,VMR_100002_134,
,,RWX,HOLD,PD_100001,VMR_100002_135,
,,RWX,HOLD,PD_100001,VMR_100002_136,
,,RWX,HOLD,PD_100001,VMR_100002_137,
,,RWX,HOLD,PD_100001,VMR_100002_138,
,,RWX,HOLD,PD_100001,VMR_100002_139,
,,RWX,HOLD,PD_100001,VMR_100002_140,
,,RWX,HOLD,PD_100001,VMR_100002_141,
,,RWX,HOLD,PD_100001,VMR_100002_142,
,,RWX,HOLD,PD_100001,VMR_100002_143,
,,RWX,HOLD,PD_100001,VMR_100002_144,
,,RWX,HOLD,PD_100001,VMR_100002_145,
,,RWX,HOLD,PD_100001,VMR_100002_146,
,,RWX,HOLD,PD_100001,VMR_100002_147,
,,RWX,HOLD,PD_100001,VMR_100002_148,
,,RWX,HOLD,PD_100001,VMR_100002_149,
,,RWX,HOLD,PD_100001,VMR_100002_150,
,,RWX,HOLD,PD_100001,VMR_100002_151,
,,RWX,HOLD,PD_100001,VMR_100002_152,
,,RWX,HOLD,PD_100001,VMR_100002_153,
